term	arousal	dominance	valence
approach	0.392	0.61	0.612
approaching	0.557	0.491	0.74
approbate	0.59	0.86	0.646
approbation	0.529	0.774	0.792
appropriate	0.368	0.759	0.833
appropriation	0.632	0.717	0.51
approval	0.46	0.889	0.854
approve	0.548	0.741	0.875
approved	0.349	0.698	0.833
approvement	0.625	0.78	0.88
approving	0.583	0.773	0.917
approximate	0.56	0.52	0.551
approximately	0.396	0.538	0.622
approximating	0.615	0.471	0.583
approximation	0.402	0.593	0.582
appurtenances	0.412	0.547	0.573
apricot	0.32	0.278	0.708
apron	0.208	0.245	0.582
apt	0.418	0.382	0.582
aptitude	0.471	0.746	0.75
aqua	0.292	0.359	0.656
aquamarine	0.306	0.413	0.729
aquarium	0.327	0.393	0.663
aquatic	0.51	0.463	0.677
aqueduct	0.411	0.534	0.551
aqueous	0.27	0.31	0.429
arable	0.35	0.465	0.51
arbiter	0.537	0.814	0.561
arbitrary	0.702	0.686	0.281
arbitrate	0.62	0.682	0.47
arbitration	0.602	0.67	0.587
arbitrator	0.448	0.795	0.385
arbor	0.49	0.591	0.583
arc	0.388	0.396	0.552
arcade	0.521	0.502	0.676
arcane	0.49	0.637	0.5
arch	0.354	0.468	0.5
archaeological	0.441	0.66	0.74
archaeologist	0.451	0.706	0.552
archaeology	0.358	0.691	0.596
archaic	0.327	0.332	0.271
archangel	0.5	0.708	0.837
archbishop	0.28	0.776	0.622
archdiocese	0.321	0.704	0.4
archduke	0.413	0.634	0.458
arched	0.403	0.398	0.582
archer	0.622	0.661	0.573
archery	0.604	0.589	0.594
archetype	0.52	0.569	0.448
archipelago	0.37	0.592	0.745
architect	0.442	0.836	0.776
architectural	0.39	0.67	0.729
architecture	0.39	0.694	0.82
archive	0.294	0.527	0.438
arctic	0.352	0.546	0.615
ardent	0.873	0.722	0.694
ardor	0.78	0.538	0.5
arduous	0.783	0.605	0.344
area	0.306	0.464	0.49
arena	0.235	0.404	0.51
areola	0.396	0.381	0.417
areyoukidding	0.633	0.4	0.429
areyoukiddingme	0.635	0.375	0.365
argent	0.418	0.472	0.594
argh	0.538	0.328	0.26
arghh	0.536	0.397	0.292
arghhhh	0.618	0.324	0.25
argue	0.798	0.525	0.093
argument	0.464	0.698	0.51
argumentation	0.549	0.76	0.479
argumentative	0.531	0.679	0.45
arguments	0.602	0.657	0.541
arid	0.333	0.379	0.323
arise	0.582	0.725	0.75
aristocracy	0.549	0.842	0.688
aristocrat	0.413	0.811	0.583
aristocratic	0.519	0.676	0.449
arithmetic	0.46	0.634	0.453
ark	0.427	0.543	0.396
arm	0.285	0.469	0.552
armada	0.74	0.868	0.408
armament	0.764	0.81	0.198
armaments	0.839	0.83	0.192
armature	0.558	0.755	0.51
armchair	0.164	0.339	0.646
armed	0.75	0.808	0.188
armor	0.625	0.784	0.469
armored	0.509	0.861	0.469
armory	0.663	0.8	0.448
armpit	0.439	0.25	0.283
arms	0.395	0.483	0.464
army	0.759	0.902	0.417
aroma	0.235	0.442	0.823
aromatherapy	0.22	0.473	0.847
arousal	0.943	0.731	0.791
arouse	0.491	0.58	0.74
aroused	0.952	0.667	0.708
arraignment	0.837	0.534	0.406
arrange	0.49	0.571	0.74
arranged	0.531	0.728	0.698
arrangement	0.382	0.683	0.625
array	0.396	0.568	0.521
arrears	0.485	0.302	0.286
arrest	0.951	0.5	0.146
arrhythmia	0.706	0.356	0.265
arrival	0.51	0.474	0.678
arrive	0.406	0.585	0.837
arrogance	0.75	0.62	0.143
arrogant	0.755	0.58	0.115
arrow	0.39	0.454	0.439
arsehole	0.598	0.433	0.276
arseholes	0.545	0.351	0.188
arsenal	0.741	0.752	0.365
arsenic	0.472	0.447	0.281
arson	0.904	0.567	0.133
arsonist	0.84	0.5	0.348
art	0.36	0.603	0.812
arterial	0.51	0.583	0.396
artery	0.58	0.537	0.396
artful	0.608	0.778	0.771
arthritis	0.518	0.345	0.11
arthropod	0.464	0.434	0.344
artichoke	0.218	0.287	0.583
article	0.28	0.481	0.594
articles	0.324	0.565	0.552
articulate	0.462	0.618	0.677
articulation	0.48	0.591	0.479
artifact	0.5	0.566	0.51
artifice	0.696	0.482	0.316
artificial	0.385	0.351	0.306
artillery	0.912	0.794	0.35
artisan	0.33	0.411	0.781
artist	0.442	0.732	0.802
artiste	0.512	0.565	0.844
artistic	0.646	0.632	0.802
artistry	0.346	0.769	0.823
artists	0.667	0.741	0.796
artwork	0.368	0.679	0.896
arty	0.422	0.388	0.49
asap	0.5	0.552	0.571
asbestos	0.481	0.464	0.357
ascend	0.62	0.812	0.83
ascendancy	0.625	0.7	0.724
ascendant	0.673	0.821	0.656
ascending	0.644	0.777	0.826
ascension	0.72	0.714	0.765
ascent	0.627	0.833	0.755
ascertain	0.53	0.625	0.56
ascertained	0.529	0.616	0.531
ascetic	0.375	0.472	0.438
ash	0.21	0.207	0.26
ashamed	0.588	0.228	0.156
ashes	0.279	0.142	0.327
ashtray	0.382	0.265	0.406
asinine	0.472	0.433	0.429
ask	0.44	0.459	0.531
asleeep	0.21	0.322	0.49
asleep	0.1	0.27	0.604
asp	0.489	0.375	0.438
asparagus	0.317	0.264	0.469
aspartame	0.48	0.322	0.469
aspect	0.469	0.588	0.479
aspects	0.48	0.565	0.439
aspen	0.28	0.395	0.479
asphalt	0.264	0.439	0.479
asphyxia	0.704	0.311	0.198
asphyxiation	0.745	0.412	0.059
aspiration	0.724	0.675	0.704
aspire	0.469	0.722	0.812
aspirin	0.271	0.422	0.479
aspiring	0.582	0.604	0.844
ass	0.75	0.345	0.323
assail	0.51	0.5	0.378
assailant	0.868	0.602	0.184
assassin	0.933	0.632	0.073
assassinate	0.969	0.722	0.051
assassination	0.941	0.525	0.083
assault	0.848	0.55	0.167
assay	0.559	0.594	0.633
assemblage	0.452	0.6	0.429
assemble	0.57	0.75	0.542
assembled	0.45	0.644	0.663
assembly	0.5	0.64	0.698
assemblyman	0.538	0.76	0.43
assent	0.515	0.719	0.615
assert	0.619	0.809	0.75
asserting	0.531	0.736	0.694
assertion	0.442	0.75	0.74
assertive	0.412	0.77	0.719
assess	0.5	0.623	0.698
assessment	0.623	0.658	0.75
assessor	0.538	0.764	0.551
asset	0.765	0.788	0.797
assets	0.613	0.765	0.667
asshole	0.582	0.263	0.133
assign	0.417	0.709	0.622
assignee	0.462	0.51	0.51
assignment	0.398	0.745	0.483
assimilate	0.391	0.683	0.559
assimilation	0.378	0.463	0.429
assist	0.435	0.629	0.833
assistance	0.519	0.633	0.656
assistant	0.39	0.536	0.625
associate	0.409	0.625	0.812
association	0.5	0.817	0.745
assorted	0.46	0.472	0.602
assortment	0.36	0.526	0.694
assuage	0.255	0.5	0.745
assume	0.401	0.464	0.698
assumed	0.247	0.454	0.612
assuming	0.39	0.526	0.74
assumption	0.431	0.417	0.479
assurance	0.442	0.704	0.675
assure	0.46	0.839	0.91
assured	0.327	0.754	0.878
assuredly	0.396	0.833	0.786
asterisk	0.288	0.273	0.541
asteroid	0.721	0.623	0.43
asteroids	0.694	0.712	0.361
asthma	0.549	0.227	0.198
asthmatic	0.706	0.294	0.229
astigmatism	0.49	0.429	0.214
astonish	0.845	0.658	0.786
astonished	0.775	0.574	0.51
astonishing	0.802	0.821	0.844
astonishingly	0.898	0.773	0.827
astonishment	0.718	0.519	0.68
astound	0.675	0.474	0.729
astral	0.417	0.567	0.604
astray	0.676	0.308	0.098
astringent	0.5	0.474	0.316
astrologer	0.519	0.673	0.594
astrology	0.34	0.5	0.635
astronaut	0.601	0.761	0.792
astronomer	0.509	0.735	0.75
astronomical	0.632	0.726	0.6
astronomy	0.474	0.722	0.613
astute	0.658	0.827	0.776
asunder	0.442	0.259	0.208
asylum	0.33	0.445	0.407
asymmetric	0.343	0.465	0.58
asymmetry	0.373	0.527	0.476
asymptotic	0.451	0.472	0.479
atelier	0.33	0.705	0.49
atheism	0.46	0.481	0.276
atheist	0.447	0.377	0.225
atheistic	0.481	0.466	0.373
atherosclerosis	0.48	0.343	0.25
athlete	0.718	0.686	0.781
athletic	0.798	0.708	0.857
athleticism	0.863	0.778	0.75
athletics	0.691	0.74	0.831
atlas	0.306	0.554	0.531
atmosphere	0.3	0.56	0.604
atmospheric	0.42	0.594	0.531
atoll	0.408	0.472	0.48
atom	0.5	0.433	0.51
atomic	0.817	0.713	0.327
atone	0.673	0.411	0.418
atonement	0.602	0.683	0.55
atpeace	0.298	0.519	0.724
atrium	0.365	0.473	0.469
atrocious	0.811	0.445	0.073
atrocity	0.844	0.593	0.115
atrophy	0.54	0.208	0.177
attach	0.363	0.559	0.52
attached	0.35	0.439	0.562
attachment	0.343	0.5	0.57
attack	0.948	0.67	0.286
attacker	0.962	0.629	0.185
attacking	0.837	0.642	0.276
attain	0.51	0.719	0.806
attainable	0.5	0.759	0.76
attainment	0.52	0.94	0.83
attempt	0.491	0.431	0.625
attempted	0.58	0.567	0.594
attend	0.42	0.625	0.65
attendance	0.5	0.592	0.812
attendant	0.365	0.519	0.58
attention	0.599	0.774	0.74
attentionseeker	0.745	0.457	0.367
attentionseekers	0.673	0.5	0.531
attentive	0.52	0.724	0.812
attenuate	0.302	0.429	0.408
attenuated	0.28	0.298	0.449
attenuation	0.363	0.464	0.458
attest	0.71	0.685	0.439
attestation	0.635	0.5	0.234
attic	0.259	0.377	0.521
attire	0.388	0.483	0.742
attitude	0.644	0.861	0.76
attorney	0.594	0.754	0.6
attract	0.663	0.769	0.796
attraction	0.774	0.712	0.906
attractive	0.63	0.769	0.906
attractiveness	0.667	0.755	0.938
attributable	0.43	0.527	0.704
attribute	0.439	0.795	0.781
attribution	0.467	0.658	0.646
attrition	0.54	0.259	0.229
auburn	0.24	0.411	0.51
auction	0.702	0.519	0.594
auctioneer	0.732	0.716	0.542
audacious	0.875	0.825	0.74
audacity	0.755	0.916	0.76
audible	0.37	0.462	0.673
audience	0.61	0.613	0.698
audio	0.425	0.37	0.709
audit	0.562	0.735	0.375
audition	0.685	0.615	0.75
auditions	0.765	0.596	0.74
auditor	0.571	0.726	0.582
auditorium	0.49	0.538	0.529
auditory	0.481	0.57	0.531
aught	0.135	0.217	0.418
augment	0.683	0.645	0.65
augmentation	0.613	0.85	0.714
august	0.292	0.462	0.652
aunt	0.291	0.42	0.667
auntie	0.275	0.447	0.643
aura	0.333	0.5	0.76
aurora	0.306	0.537	0.817
auspices	0.5	0.634	0.542
auspicious	0.635	0.669	0.562
austere	0.39	0.422	0.5
austerity	0.406	0.534	0.438
authentic	0.51	0.782	0.885
authenticate	0.48	0.789	0.833
authentication	0.491	0.75	0.724
authenticity	0.548	0.845	0.67
author	0.343	0.749	0.775
authoritative	0.52	0.89	0.636
authority	0.592	0.934	0.592
authorization	0.567	0.817	0.521
authorize	0.596	0.821	0.772
authorized	0.458	0.815	0.76
authorship	0.635	0.773	0.667
autism	0.5	0.447	0.235
autistic	0.337	0.404	0.367
auto	0.569	0.5	0.571
autobiographical	0.462	0.582	0.909
autobiography	0.284	0.629	0.735
autocorrect	0.439	0.616	0.551
autocratic	0.577	0.727	0.542
autograph	0.565	0.473	0.735
autographed	0.62	0.625	0.781
automated	0.402	0.632	0.578
automatic	0.433	0.664	0.562
automobile	0.625	0.534	0.753
automotive	0.52	0.577	0.656
autonomy	0.349	0.891	0.781
autopilot	0.462	0.632	0.594
autopsy	0.65	0.538	0.252
autumn	0.204	0.45	0.765
auxiliary	0.471	0.509	0.622
avail	0.43	0.603	0.8
availability	0.544	0.6	0.796
available	0.356	0.623	0.844
avalanche	0.915	0.683	0.265
avarice	0.726	0.352	0.198
avatar	0.41	0.567	0.633
avenge	0.867	0.559	0.073
avenger	0.865	0.67	0.337
avenging	0.88	0.717	0.143
avenue	0.36	0.377	0.677
aver	0.45	0.393	0.492
average	0.28	0.455	0.684
aversation	0.442	0.432	0.582
averse	0.569	0.492	0.253
averseness	0.606	0.528	0.296
aversion	0.663	0.525	0.074
avert	0.388	0.465	0.51
aviary	0.36	0.467	0.5
aviation	0.646	0.741	0.708
aviator	0.7	0.644	0.615
avid	0.459	0.593	0.582
avocado	0.255	0.287	0.677
avoid	0.442	0.415	0.427
avoidance	0.481	0.466	0.47
avoiding	0.433	0.309	0.457
await	0.264	0.276	0.448
awake	0.469	0.741	0.667
awaken	0.412	0.611	0.729
awakening	0.5	0.618	0.745
award	0.745	0.66	0.865
awards	0.736	0.652	0.958
aware	0.34	0.77	0.656
awareness	0.422	0.81	0.684
awe	0.74	0.3	0.469
awed	0.774	0.361	0.364
awesome	0.897	0.891	0.98
awesomeness	0.647	0.927	0.917
awestruck	0.767	0.68	0.615
awful	0.786	0.45	0.061
awkward	0.65	0.358	0.296
awkwardness	0.454	0.148	0.167
awning	0.186	0.318	0.5
awry	0.54	0.275	0.156
axe	0.69	0.536	0.296
axial	0.278	0.491	0.458
axiom	0.441	0.583	0.439
axiomatic	0.392	0.627	0.458
axis	0.25	0.356	0.209
axle	0.294	0.473	0.459
ay	0.557	0.255	0.5
aye	0.42	0.392	0.562
azimuth	0.461	0.421	0.385
azure	0.256	0.339	0.62
babble	0.441	0.204	0.552
babbling	0.418	0.241	0.396
babe	0.536	0.424	0.86
baboon	0.41	0.429	0.357
baby	0.365	0.455	0.837
babysit	0.587	0.398	0.719
babysitter	0.415	0.408	0.656
baccalaureate	0.51	0.48	0.729
baccarat	0.497	0.436	0.583
bachelor	0.406	0.6	0.667
bachelorette	0.78	0.465	0.735
back	0.353	0.336	0.438
backboard	0.259	0.436	0.48
backbone	0.464	0.62	0.538
backdoor	0.41	0.333	0.344
backdrop	0.309	0.444	0.32
backer	0.375	0.537	0.646
backfire	0.612	0.491	0.265
backgammon	0.41	0.39	0.58
background	0.357	0.498	0.399
backhand	0.449	0.39	0.427
backhoe	0.554	0.562	0.398
backoff	0.396	0.24	0.104
backpack	0.278	0.333	0.729
backpacker	0.73	0.46	0.51
backroom	0.5	0.387	0.406
backseat	0.33	0.237	0.388
backside	0.417	0.342	0.182
backtrack	0.525	0.278	0.312
backup	0.51	0.553	0.52
backward	0.367	0.25	0.309
backwardness	0.5	0.136	0.24
backwards	0.372	0.33	0.302
backwater	0.41	0.161	0.312
backwoods	0.35	0.482	0.541
backyard	0.28	0.302	0.552
bacon	0.406	0.295	0.698
bacteria	0.553	0.57	0.177
bacterial	0.5	0.473	0.156
bacterium	0.545	0.345	0.194
bad	0.625	0.373	0.125
badass	0.775	0.745	0.255
badday	0.449	0.373	0.327
badfeeling	0.559	0.365	0.25
badge	0.488	0.691	0.567
badger	0.429	0.357	0.344
badhabit	0.594	0.311	0.184
badly	0.509	0.286	0.073
badness	0.823	0.463	0.094
baffle	0.442	0.482	0.344
baffled	0.6	0.339	0.151
bag	0.25	0.314	0.5
bagel	0.363	0.34	0.531
baggage	0.363	0.427	0.61
baggie	0.427	0.366	0.367
baggy	0.278	0.452	0.521
bagman	0.5	0.394	0.506
bagpipes	0.556	0.412	0.541
bail	0.52	0.561	0.373
bailiff	0.519	0.759	0.347
bait	0.327	0.296	0.276
bake	0.418	0.519	0.867
bakery	0.5	0.38	0.802
baking	0.455	0.451	0.549
bal	0.412	0.432	0.49
balance	0.265	0.735	0.684
balanced	0.255	0.745	0.806
balcony	0.392	0.38	0.562
bald	0.184	0.268	0.306
balding	0.363	0.368	0.302
baldy	0.385	0.396	0.398
bale	0.363	0.412	0.437
balk	0.451	0.415	0.229
ball	0.427	0.317	0.74
ballad	0.284	0.424	0.792
ballast	0.423	0.287	0.354
ballerina	0.66	0.475	0.802
ballet	0.48	0.358	0.656
ballgame	0.79	0.407	0.781
ballistic	0.806	0.685	0.26
ballistics	0.787	0.61	0.271
balloon	0.245	0.315	0.729
ballot	0.361	0.358	0.521
ballpark	0.694	0.529	0.724
ballplayer	0.764	0.566	0.719
ballpoint	0.337	0.318	0.596
ballroom	0.635	0.448	0.847
ballsy	0.491	0.414	0.531
balm	0.275	0.414	0.625
balmy	0.327	0.545	0.684
balsam	0.25	0.385	0.663
balsamic	0.283	0.447	0.582
bam	0.472	0.39	0.427
bamboo	0.222	0.356	0.646
ban	0.689	0.587	0.146
banana	0.23	0.241	0.612
band	0.552	0.525	0.648
bandage	0.327	0.286	0.22
bandanna	0.276	0.277	0.562
bandit	0.796	0.567	0.094
bandstand	0.536	0.52	0.735
bandwagon	0.651	0.509	0.625
bandwidth	0.337	0.548	0.714
bane	0.694	0.366	0.265
bang	0.951	0.74	0.265
banger	0.54	0.538	0.378
banish	0.677	0.543	0.163
banished	0.713	0.37	0.052
banishment	0.775	0.298	0.16
banister	0.41	0.332	0.418
banjo	0.4	0.37	0.469
bank	0.327	0.675	0.562
banker	0.588	0.792	0.586
banking	0.327	0.5	0.51
bankroll	0.57	0.509	0.469
bankrupt	0.673	0.337	0.163
bankruptcy	0.696	0.209	0.01
banner	0.408	0.474	0.521
banquet	0.571	0.6	0.765
banshee	0.565	0.481	0.408
banter	0.677	0.464	0.594
banzai	0.51	0.443	0.55
baptism	0.384	0.566	0.844
baptismal	0.343	0.625	0.646
baptize	0.426	0.594	0.739
bar	0.531	0.481	0.5
barb	0.365	0.417	0.448
barbarian	0.896	0.713	0.323
barbaric	0.798	0.738	0.235
barbarism	0.815	0.614	0.19
barbecue	0.643	0.456	0.792
barbed	0.594	0.455	0.177
barber	0.459	0.356	0.543
barbershop	0.441	0.382	0.597
barbie doll	0.37	0.33	0.729
bard	0.41	0.439	0.47
bare	0.717	0.296	0.333
bareback	0.356	0.373	0.5
barefoot	0.373	0.241	0.445
barely	0.183	0.268	0.448
barf	0.491	0.394	0.34
bargain	0.533	0.67	0.653
bargaining	0.64	0.642	0.622
barge	0.388	0.465	0.469
baritone	0.529	0.5	0.592
barium	0.353	0.377	0.406
bark	0.602	0.395	0.36
barkeep	0.5	0.454	0.48
barks	0.694	0.325	0.427
barley	0.212	0.296	0.614
barmaid	0.472	0.44	0.521
barman	0.61	0.4	0.594
barn	0.452	0.425	0.51
barnacle	0.337	0.457	0.408
barney	0.378	0.44	0.451
barnyard	0.353	0.336	0.51
barometer	0.273	0.545	0.388
baron	0.358	0.709	0.52
baroness	0.453	0.755	0.625
baroque	0.357	0.418	0.49
barrack	0.5	0.455	0.378
barracuda	0.713	0.51	0.333
barrage	0.871	0.627	0.388
barred	0.741	0.535	0.143
barrel	0.298	0.474	0.429
barren	0.373	0.221	0.173
barricade	0.667	0.673	0.323
barrier	0.48	0.562	0.333
barring	0.67	0.42	0.292
barrister	0.57	0.792	0.469
barroom	0.619	0.47	0.686
barrow	0.363	0.362	0.479
bartender	0.698	0.585	0.573
barter	0.559	0.596	0.465
base	0.298	0.553	0.635
baseball	0.76	0.563	0.66
baseball bat	0.567	0.509	0.667
baseboard	0.198	0.405	0.396
baseless	0.382	0.375	0.292
baseline	0.367	0.509	0.483
baseman	0.449	0.462	0.604
basement	0.5	0.268	0.388
bases	0.236	0.591	0.569
bash	0.546	0.463	0.385
bashful	0.406	0.217	0.4
basic	0.102	0.395	0.643
basics	0.311	0.491	0.688
basil	0.274	0.309	0.534
basilica	0.302	0.639	0.612
basin	0.231	0.398	0.552
basis	0.26	0.426	0.602
bask	0.33	0.381	0.76
basket	0.227	0.336	0.458
basketball	0.764	0.435	0.814
bass	0.206	0.268	0.427
bass guitar	0.37	0.294	0.738
basso	0.42	0.439	0.417
bassoon	0.433	0.31	0.5
bastard	0.692	0.289	0.094
bastarding	0.608	0.269	0.104
bastards	0.68	0.422	0.082
bastion	0.5	0.596	0.531
bat	0.409	0.48	0.324
batch	0.357	0.357	0.56
batching	0.42	0.518	0.484
bate	0.525	0.464	0.429
bath	0.26	0.263	0.725
bathe	0.294	0.371	0.677
bathhouse	0.38	0.459	0.602
bathing	0.276	0.361	0.74
bathrobe	0.442	0.394	0.531
bathroom	0.283	0.345	0.561
bathtub	0.24	0.318	0.625
bathymetry	0.48	0.509	0.432
baton	0.235	0.519	0.272
battalion	0.818	0.795	0.333
batter	0.245	0.373	0.561
battered	0.79	0.306	0.08
battering	0.798	0.49	0.21
battery	0.425	0.442	0.48
battle	0.945	0.868	0.365
battled	0.794	0.575	0.292
battlefield	0.918	0.781	0.133
battleground	0.958	0.812	0.156
battlements	0.441	0.53	0.276
battleship	0.75	0.726	0.479
batty	0.619	0.274	0.375
bauble	0.429	0.255	0.698
bawdy	0.823	0.508	0.184
bawl	0.88	0.561	0.385
bay	0.365	0.569	0.719
bayonet	0.775	0.561	0.263
bayou	0.431	0.324	0.469
bazaar	0.34	0.5	0.604
bazooka	0.824	0.634	0.302
bday	0.6	0.415	0.729
be	0.24	0.554	0.67
beach	0.529	0.455	0.885
beaches	0.5	0.538	0.865
beacon	0.407	0.537	0.58
bead	0.388	0.381	0.592
beading	0.32	0.398	0.542
beads	0.388	0.552	0.673
beady	0.417	0.443	0.448
beagle	0.47	0.395	0.649
beak	0.363	0.411	0.375
beaker	0.41	0.391	0.42
beam	0.349	0.382	0.584
beaming	0.654	0.587	0.892
bean	0.269	0.264	0.667
beanbag	0.38	0.34	0.45
beanie	0.23	0.263	0.5
bear	0.57	0.475	0.448
bearable	0.375	0.605	0.542
beard	0.261	0.371	0.49
bearded	0.337	0.391	0.439
bearer	0.547	0.676	0.571
bearing	0.367	0.474	0.571
bearings	0.49	0.426	0.418
bearish	0.549	0.324	0.521
bearskin	0.398	0.464	0.333
beast	0.78	0.732	0.214
beastly	0.874	0.843	0.146
beat	0.647	0.492	0.279
beaten	0.846	0.265	0.083
beater	0.545	0.482	0.438
beating	0.833	0.481	0.153
beatnik	0.51	0.382	0.429
beau	0.44	0.432	0.612
beautification	0.575	0.725	0.885
beautiful	0.614	0.648	0.875
beautify	0.592	0.736	0.898
beauty	0.6	0.644	0.842
beaver	0.344	0.393	0.49
bebop	0.49	0.358	0.482
beck	0.375	0.418	0.58
beckon	0.455	0.452	0.663
become	0.583	0.643	0.641
bed	0.173	0.327	0.604
bedding	0.276	0.377	0.704
bedpan	0.4	0.362	0.51
bedrock	0.34	0.598	0.561
bedroom	0.296	0.491	0.744
bedside	0.167	0.375	0.604
bedspread	0.139	0.292	0.551
bedtime	0.314	0.373	0.673
bee	0.509	0.309	0.52
beef	0.312	0.492	0.582
beefsteak	0.391	0.455	0.594
beehive	0.7	0.422	0.541
beep	0.541	0.304	0.595
beeper	0.72	0.441	0.438
beer	0.654	0.5	0.592
bees	0.635	0.412	0.562
beeswax	0.402	0.375	0.583
beetle	0.356	0.295	0.323
befall	0.663	0.585	0.52
befitting	0.333	0.394	0.708
befriend	0.624	0.471	0.93
befuddled	0.714	0.269	0.156
beg	0.608	0.328	0.292
beggar	0.402	0.116	0.24
begging	0.461	0.202	0.292
begin	0.569	0.763	0.677
beginner	0.48	0.387	0.49
beginning	0.528	0.558	0.816
beginnings	0.527	0.6	0.837
begrudge	0.731	0.377	0.177
begun	0.5	0.404	0.677
behappy	0.557	0.562	0.875
behave	0.363	0.747	0.677
behavior	0.442	0.813	0.594
behavioral	0.44	0.708	0.612
behemoth	0.781	0.853	0.583
behest	0.35	0.72	0.602
behold	0.284	0.449	0.61
beholden	0.555	0.212	0.296
beholder	0.491	0.52	0.714
beige	0.222	0.224	0.49
belated	0.4	0.214	0.24
belay	0.472	0.702	0.5
belch	0.562	0.24	0.194
belief	0.375	0.656	0.896
believable	0.39	0.676	0.866
believe	0.37	0.682	0.781
believed	0.562	0.547	0.5
believer	0.445	0.564	0.725
believing	0.418	0.833	0.87
belittle	0.417	0.25	0.122
belittled	0.392	0.226	0.177
bell	0.51	0.505	0.552
bellboy	0.363	0.302	0.542
bellhop	0.287	0.318	0.5
belligerent	0.68	0.594	0.344
bellman	0.25	0.371	0.54
bellow	0.337	0.212	0.248
bellows	0.515	0.429	0.458
belly	0.388	0.387	0.51
bellybutton	0.283	0.36	0.531
bellyful	0.806	0.519	0.347
belong	0.405	0.569	0.643
belongings	0.38	0.75	0.592
beloved	0.613	0.708	0.969
belt	0.322	0.445	0.541
beluga	0.333	0.482	0.51
bemused	0.49	0.278	0.281
bench	0.289	0.544	0.571
bend	0.324	0.368	0.571
bender	0.51	0.466	0.49
bending	0.565	0.455	0.448
beneath	0.173	0.233	0.354
benedictory	0.438	0.481	0.677
benefactor	0.578	0.755	0.833
beneficial	0.579	0.703	0.82
beneficiary	0.399	0.616	0.776
benefit	0.422	0.806	0.906
benevolence	0.34	0.717	0.786
benevolent	0.407	0.651	0.786
benign	0.44	0.509	0.694
bent	0.453	0.298	0.375
benzene	0.459	0.403	0.439
bequeath	0.5	0.741	0.743
bequest	0.398	0.882	0.661
bereaved	0.479	0.221	0.104
bereavement	0.677	0.5	0.265
bereft	0.49	0.336	0.229
beret	0.24	0.327	0.542
bergamot	0.365	0.339	0.51
berlin	0.423	0.571	0.592
berserk	0.556	0.48	0.398
berth	0.337	0.596	0.295
beryllium	0.412	0.425	0.417
beseech	0.441	0.6	0.33
beset	0.717	0.317	0.385
bestdayever	0.646	0.593	0.76
bestfeeling	0.509	0.625	0.806
bestfriends	0.662	0.647	0.934
bestial	0.761	0.674	0.26
besties	0.509	0.614	0.888
bestow	0.56	0.642	0.656
bestseller	0.643	0.7	0.771
bet	0.698	0.432	0.385
beta	0.37	0.439	0.71
betray	0.87	0.536	0.042
betrayal	0.719	0.418	0.083
betrayed	0.769	0.308	0.122
betrothed	0.63	0.667	0.833
betterment	0.536	0.769	0.898
betting	0.804	0.411	0.237
betty	0.358	0.381	0.542
bevel	0.406	0.454	0.757
beverage	0.49	0.389	0.635
bevy	0.46	0.541	0.429
beware	0.596	0.518	0.151
bewilder	0.571	0.289	0.306
bewildered	0.63	0.3	0.23
bewilderment	0.716	0.216	0.312
bias	0.37	0.541	0.4
biased	0.302	0.368	0.271
bib	0.396	0.339	0.385
bible	0.225	0.726	0.719
biblical	0.304	0.712	0.635
bibliography	0.204	0.528	0.622
bicarbonate	0.337	0.438	0.479
bicentennial	0.423	0.507	0.541
biceps	0.588	0.602	0.592
bicker	0.643	0.552	0.143
bickering	0.8	0.536	0.122
bicolor	0.327	0.404	0.58
bicycle	0.519	0.425	0.708
bid	0.53	0.655	0.76
bidder	0.474	0.433	0.465
bidding	0.644	0.509	0.586
bide	0.407	0.282	0.368
biennial	0.309	0.353	0.531
bier	0.448	0.407	0.497
bifurcation	0.625	0.352	0.385
big	0.588	0.812	0.802
bigamy	0.696	0.482	0.327
bigday	0.689	0.596	0.796
biggestfear	0.73	0.48	0.062
biggie	0.481	0.5	0.531
bighorn	0.547	0.58	0.48
bigmouth	0.577	0.43	0.417
bigot	0.745	0.517	0.479
bigoted	0.76	0.462	0.153
bigotry	0.737	0.481	0.356
bike	0.5	0.333	0.708
biker	0.71	0.567	0.604
bikini	0.639	0.353	0.73
bilateral	0.343	0.491	0.633
bilayer	0.398	0.388	0.438
bile	0.461	0.324	0.157
bilge	0.392	0.412	0.316
bilingual	0.49	0.606	0.735
bill	0.402	0.535	0.396
billboard	0.317	0.481	0.594
billet	0.583	0.5	0.479
billiard	0.616	0.543	0.719
billiards	0.559	0.387	0.643
billing	0.481	0.67	0.406
billion	0.564	0.782	0.719
billionaire	0.667	0.923	0.806
billy	0.397	0.375	0.49
bimbo	0.37	0.3	0.396
bimonthly	0.298	0.471	0.408
bin	0.304	0.327	0.422
binary	0.356	0.42	0.49
bind	0.462	0.448	0.398
binder	0.25	0.308	0.438
bindery	0.388	0.482	0.548
binding	0.425	0.64	0.438
bing	0.453	0.415	0.573
binge	0.65	0.5	0.304
bingo	0.667	0.429	0.735
binocular	0.344	0.426	0.531
binoculars	0.309	0.411	0.49
binomial	0.406	0.426	0.6
bio	0.225	0.49	0.612
biochemical	0.481	0.618	0.367
biochemist	0.449	0.717	0.471
