****Dialogues from script :Pianist.txt****

the pianist		 by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
hotu		'Ca, rongo koe i te haunga a tans tutae i te tuatahi.  UNSUBTITLED
stewart		They want more money. They are trying to make two days out of it?
baines		No, no they know another track - to the side of this.
aunt morag		Watch your feet!
nessie		Watch your feet!
aunt morag		Careful! Watch his hand.
nessie		Watch his hand
aunt morag		Stop it!
aunt morag		 We'll bring out the bride.
aunt morag		LIFT - YOUR - ARM - UP - DEAR.
flora		My REAL father was a famous German composer
aunt morag		Ohh the tag is broken.
flora		 .... They met when my mother was an opera singer... in Luxemburg...
flora		Why?
flora		I want to be in the photograph.
stewart		Beautiful.
aunt morag		I thought she met your father in Luxemburg.
flora		Well, yes, in Austria where be conducted the Royal Orchestra.
aunt morag		 And where did they get married?
flora		 In an enormous forest, with real fairies as bridesmaids each holding a little elf's hand.
flora		No, I tell a lie, it was in a small country church, near the mountains
aunt morag		Which mountains are those dear?
flora		The Alps.
aunt morag		Ohhh I've never been there. 
flora		Mother used to sing the songs in German and her voice would echo across the valleys
aunt morag		Oh what happened?
flora		One day when my mother and father were singing together in the forest, a great storm blew up out of nowhere. But so passionate was their singing that they did not notice, nor did they stop as the rain began to fall and when their voices rose for the final bars of the duet a great bolt of lightening came out of the sky and struck my father so that he lit up like a torch... And at the same moment my father was struck dead my mother was struck dumb! She- never-spoke-another-word.
aunt morag		Ohhh ... dear. Not another word From the shock, yes it would be.
aunt morag		Terrible.  Terrible
stewart		I shall be gone for some days. There is some Maori land I want and may buy very reasonably.  I am hoping you will use the time to settle in, and, in some ways we may start again
stewart		All right?
baines		I'm not able to read.
flora		Please take us to the beach where we landed.
baines		I'm sorry, I can't do that.  Goodbye
baines		I - can't - take - you there. I can't do it.
stewart		Hello, then.
flora		Hello.
nessie		It will be very dramatic.
stewart		 What would you think if someone played a kitchen table like it were a piano?
aunt morag		Like it were a piano?
stewart		It's strange isn't it? I mean it's not a piano, it doesn't make any sound.
aunt morag		 Biscuits.' No, no sound.
stewart		I knew she was mute, but now I'm thinking it's more than that. I'm wondering if she's not brain affected.
aunt morag		No sound at all?
stewart		No, it was a table.
aunt morag		 Well, she was very violent with the gown. She tore off a chunk of lace. if hadn't been there I'd have sworn she'd used her teeth
nessie		and wiped her feet an it.
stewart		Well it has not yet come to anything. Just a concern.
aunt morag		Oh, yes, yes of course, a concern.
stewart		There is something to be said for silence
aunt morag		Oh indeed. Cotton'.
stewart		  And with time she will, I'm sure, become affectionate.
aunt morag		Certainly, there is nothing so easy to like as a pet and they are quite silent.
baines		Those 80 acres, that cross the stream, what do you think of them?
stewart		On your property?
baines		Yes
stewart		Good, flatish land with reliable water, why? I don't have money. What are you about?
baines		I'd like to make a swap.
stewart		What for?
baines		The piano.
stewart		The piano on the beach? Ada's piano?
stewart		It's not marshy is it?
baines		No.
stewart		You'd have to organise it up here.
baines		Yes, I thought that.
stewart		Well Baines the music lover, I never would have known. Hidden talents George.
baines		I'll have to get lessons. It wouldn't be much use without them.
stewart		Yes, I suppose you would.
stewart		Well Ada can play.
stewart		I have it in a letter she plays well. She's been playing since
stewart		I have got us some excellent land. Baines has taken some queer idea to have a piano, and you are to give him lessons. Have you taught before?
flora		What on?
stewart		On your piano, that is the swap.
stewart		What does she say?
flora		She says it's her piano, and she won't have him touch it. He's an oaf, he can't read, he's ignorant.
stewart		He wants to improve himself... and you will be able to play on it ...  Teach him to look after it.
stewart		 You can't go on like this, we are a family now, all of us make sacrifices and so will you. You will teach him. I shall see to that!
stewart		I'd try children's tunes, nothing more complicated
stewart		Just be encouraging no one expects him to be good.
stewart		 It looks good, very nice looking thing. Well . I wish you luck. The girls are very excited about the lessons.
stewart		Flora will explain anything Ada says. They talk through their fingers, you can't believe what they say with just their hands.
flora		My mother wants to see your hands. Hold them out.
flora		You have to wash them.
baines		They are washed.
flora		Wash them again.
baines		The marks do not come out. They are scars and hardened skin.
flora		There's no tune left in the piano so she can't teach you.
blind man		Ah, a Broadbent. A fine instrument. I've not come across one here, or in the Islands where I have tuned some 200. Yes, they like their pianos there.
baines		I can't play.
blind man		You don't play?
baines		No, I can't.
blind man		Well my dear Miss Broadbent, tuned, but silent.
flora		Mother says she can't stand to teach piano with it all out or tune. So I'm to do scales.
flora		I hope you've scrubbed your hands.
flora		What's out there?
flora		You have to watch me where I put my fingers.
flora		It's in tune.
flora		 I was teaching.
flora		She wants to see what you can do.
baines		I'd rather not play. I want to listen and learn that way.
flora		Everyone has to practice.
baines		I just want to listen.
flora		What do you want to hear?
baines		Anything.
flora		Tell me about my real father.
flora		What happened? Why didn't you get married?
stewart		Shall I kiss you goodnight?
baines		Do you know how to bargain, nod if you do.
baines		You see I'd like us to make a deal. There's things I want to do while you stay. If you let me you can earn it back.
baines		Your dress?
baines		Play... Keep playing.
hira		I got the good wife for you Peini. She pray good. Clean. Read Bible. You sleep her Peini. She chief daughter.
baines		No, no bible readers.
hira		Why? We need you pakeha clever. You sleep her.
baines		I have a wife.
tahu		 I give her clever eb Peini. Hallelujah!
hira		Don't answer, he low born. Jun look at him, mongrel. Your wife where she?
baines		She lives her own life in New Jersey, America.
hira		You have spare wife here Peini. You get rnana for that. Our chief four wives.
hira		Who do that? It not finish, that no good Peini. You finish!
flora		 I want to speak to my mother
aunt morag		 Which sign is the word rehearsal?
aunt morag		I can't imagine a fate worse than being dumb. Turn around.
nessie		To be deaf?
aunt morag		Oh yes, dear too - TERRIBLE! AWFUL!"'
flora		Actually, to tell you the whole truth, Mama says most people speak rubbish and it's not worth the listen.
aunt morag		 Well, that is a strong opinion.
flora		Yes, it's unholy.
baines		Lift your skirt,
baines		Higher.
reverend		Nessie, your hand out ... out here, please.
nessie		Oh, no use Mr Stewart, I can't act.
reverend		Nessie, please.
reverend		Look you are being attacked!
reverend		And with the blood ... it will be a good effect:
baines		Undo your dress. This part,  I want to see your arms.
baines		Play.
aunt morag		I hardly need to give one to you, but there you are anyway.
stewart		Wait.
stewart		How are the lessons going? ADA nods enthusiastically. He's getting on all right? ADA nods again Good.
aunt morag		That is good, yes.
aunt morag		Ah well, slowly, slowly
baines		Ada, four keys.
flora		The Holly and the Ivy...
woman		They're bringing in extra seats!
another woman		Oh God, don't pin my hair too high Alfred!
still another		Yes, me too, do it about here ... 
man one		Look who's here, the musical MR BAINES What will we have tonight George, "Twinkle, twinkle?"
another man		'Mary had a little lamb' or a polka, come on George what's it to be?
aunt morag		Mr. Baines, do come and turn pages
baines		I can't read music, I have just begun.
stewart		 Lot of fools. Come on, move up.
reverend		And so the young maid came upon each and all of Bluebeard's missing wives, their severed heads still bleeding, their eyes still crying.
reverend		But who it this?
bluebeard		I am home early my sweet wife ... where art thou?
young wife		Hello husband, what a surprise!
bluebeard		Yes wife, a surprise indeed! So now you know my secret you, the sweetest and youngest or all my wives must be prepared to die.
nihe		 SUBTITLED
young wife		No, no wait!
bluebeard		I shall not wait. Bare your neck.
nihe		Hoki rnai! Hoki rnai!  SUBTITLED
baines		I have been waiting. You are very late.
baines		I don't want you to play. I just want you to sit.
baines		 No, not two keys.
baines		 Two keys then!
maori negotiator		 SUBTITLED
stewart		 What do they say? Are they selling? Offer the blankets for half the land.
stewart		T-w~e-l-v~e.
baines		Te, kawnarna paraikete mo te tahi hawlie 0 te whenna uci.  UNSUBTITLED
stewart		 Offer the guns.
maori negotiator		Kahore atu he kororo. Kahore niaton Kote hake whentia. Engad mate peaks ne.  SUBTITLED
baines		E hoa ma, haria atu ra takit kia Nihe. 
