****Dialogues from script :TRON.txt****

fourth draft screenplay by		Charlie Haas April 6, 1981 BLACKNESS
plexor		I do what you programmed me to do. I am constructing X-Net.
sinclair		New instructions - find and destroy the intruder!
sinclair		No. We can't delay the opening of X- Net. Disregard my last command. Maintain construction priority.
rush		System is stable again, keep you fingers crossed.
phlegman		Any luck finding the intruder?
rush		Don't ask.
rush		What's she doing here?    This is an operations meeting.
kelter		You and Meg still, eh...    At it?
rush		There was never anything between us.
rush		She's Advanced Projects.    This has nothing to do with her.
sinclair		This company's existence depends on the flawless launch of X-Net in twenty- two hours, fifty-one minutes. Now somebody - some hacker, some competitor, somebody - just proved they're smarter than us. Breaking into X-Net is theoretically impossible.
rush		This creep's the best I've ever seen. He crosses platforms, cracks 128 bit encryption, cloaks every move, never leaves a trace.
sinclair		When you find him, I'll be sure to hire him.
sinclair		Boys and girls, we cannot sell a secure network that is not secure.
pr vp		We delay the launch.
sinclair		And the world assumes we've got a faulty product. And they'd be right.
kelter		We ramp up our encryption schemes -
phlegman		Thicken all firewalls -
rush		We can't win playing defense. And it's a bigger job than just swatting an intruder program. Somewhere, there's a human mind behind this thing. We have to get to that User and shut him - or her - down, or the game never ends.
sinclair		What do you need, Rush?
rush		20 guys for 20 days -
sinclair		We don't have 20 hours. This problem needs to be gone before tomorrow 9AM. Come on people, this company's future is at stake! It's time to think without a box!
rudy		At a time like this, let's seek inspiration in the past. We should ask ourselves: What solution would spring from the inspired mind of our departed leader, Flynn.
sinclair		Is the QF-401 is operational?
meg		Um...   Midway into phase one testing.
sinclair		If we can't fight this intruder from the outside, then maybe we need to fight him from the inside.
meg		I'm ready to do my part.
sinclair		This company needs a hero. Who among you is the smartest, most resourceful and courageous?
meg		Who else could it be?
rush		Somebody going to tell me what I've been volunteered for?
sinclair		Rush, you're the only one I can trust to eliminate the intruder. But you won't be doing it the way you thought. Meg's been working on something down here that's, well... Beyond Top Secret.
meg		This is where Flynn worked.   And where he died.
sinclair		Meg has reconstructed Flynn's last project. This time it works.
rush		You didn't pick this up at Circuit City. What is it?
meg		A Quantum Digitizer. Prototype, only one of its kind. Flynn designed it to break down physical objects into high resolution data. Luckily, we salvaged his key components and back-engineered the system.
rush		That's...   Not possible.
meg		Flynn was trying to take it one step further. He wanted to transport a human being into cyberspace.
rush		You mean the urban legends? A computer sucked Flynn into cyberspace a long time ago.
sinclair		We think it happened.
sinclair		It was a fluke. But Flynn worked for years, down here, trying to make it happen again. One day a test went bad. A plasma reaction destroyed this lab. Flynn was reduced to ash.
rush		I was never told how he died. It was all just weird, you know, because Flynn's the guy who hired me. But he was strange, kept to himself, I didn't know what job I was supposed to be doing.  Then you came onboard, the company woke up, we had a direction. It was kind of pathetic, because by the time Flynn died, everybody was too busy to care.
sinclair		He was brilliant in his way, but genius without discipline leads to nothing. His reckless habits nearly ruined this company... And for sure got him killed.
meg		That kind of accident can't happen again. We've upgraded the system in ways Flynn never could. The chips didn't exist until now.
meg		Hey, Jo-Jo.    Have good trip?
rush		You want her to send me into cyberspace to catch that jerk who hacked us?
sinclair		The future of this company depends on it.
rush		You can bring me back okay?
meg		Ask Jo-Jo.
sinclair		Destroy the intruder by 9AM tomorrow, Rush. I know if anyone can, it's you. I've had my eye on you for a long time. Score this hit and I'll make you my full partner in this company.
rush		I won't let you down.   Let's do it.
meg		I promise I'll get you back safely by 9AM tomorrow. But you have to promise me something too -
rush		You're a piece of work. You dumped me because you said I was too much about the company's needs and not enough about yours. Well here we are, the company needs their best guy, and you just can't admit how much to hurts to nominate me.
meg		This bigger than us, Rush. Listen to me. I don't know what you're going to find in there, but whatever it is, promise you'll follow your heart and do the right thing.
rush		Oh.    So you think I have a heart?
rush		 I promise.
dewey		It's overloading!
rush		What's happening?!
meg		System is losing stability!
sinclair		There's been another breech!
rush		It's the Intruder again!
meg		We have to abort!
sinclair		We might not get another chance!
rush		DO IT!
rush		It's YOU!    The intruder!
rush		You are...    TRON?!?
rush		ARRRGHH!
rush		Uh, well, I'm not exactly -
voice		RX23 reboot was not authorized!
rush		Yow.     I know who programmed you.
mega		I am Mega, X-Net Intelligence.
rush		Mega.     Cool.     I am -
mega		A spy? Posing as RX23? Under which register were you rebooted?
rush		I'm a User.
mega		Detain this impostor.
rush		No wait, look. We're on the same side here. I got an ID on the intruder!
mega		"Tron"?
mega		Plexor must know of this!
mega		Plexor.   This is the one.
rush		My name is Rush. I'm a - Look, I got an ID on the Intruder. Do you know the program they used to call Tron?
plexor		You are in error. Zero match.
rush		Exactly. That's how he's getting past you. You don't see him for what he is. He's one of your own, gone bad. Tron was a crude security program from Encom's old days. Strictly low-rez, right? Archived and forgotten. But his source code contains all the architecture of every Encom system, including X-net. 
plexor		"User"?
rush		People. Like me. From the outside. People who write all of your instructions.
mega		He displays random instability.
plexor		Users do not exist.
rush		How do we contact Sinclair?    He'll explain.
plexor		Define "Sinclair".
rush		You don't know? Oh geez. There must be a way to link him into this.
mega		Zero match for a "Sinclair".
rush		He's your boss. Everybody's boss. Outside, in the real world.
plexor		Assuming the existence of a world beyond this, is a fatal error.
mega		Plexor issues all commands.
rush		Okay. Sorry. I'm a program, guess I got a piece of my code corrupted. Whatever it is, it's given me power over Tron.  They saw me read his circuits. Can any other program do that?
mega		He creates alternative data channels at will.
plexor		Chaos.
rush		Yeah, I'm a little unstable.    But I can find Tron for you.
plexor		Release him.
plexor		Interface with this one. Exploit his ability. Locate the program "Tron" and destroy him on sight.
mega		Instructions received, Plexor.
rush		I need to find a program called KROD. He's a specialist in pattern recognition. He snagged the last known position on Tron for me.
mega		This is a waste of X-Net resources. You're strictly random. We will never find the intruder this way.
rush		Plexor ordered us to work together. You can't doubt his instructions, right?
mega		Of course not. But I am programmed to predict all possible errors. You contain an infinite quantity.
rush		Meg for sure programmed you.
mega		I have no data on "Meg".
rush		Never mind.    I'm being random.
rush		X-Net is amazing. It's going to change everything. Unless one rogue program called Tron brings it down. Do you believe he could?
mega		I calculated the probability.  He could crash it all.
rush		So we're working together on this?
mega		As instructed, I will interface.
mega		The program "KROD" is over there.
rush		What a dump.
rush		Hey.    Interface.
krod		Three more hub cities have been attacked by viruses!  But X-Net opens soon! You will travel in total security!
mega		This is the one you seek?
rush		It's gotta be -
krod		Krod!
rush		Krod!
krod		Yeah, yeah -     Heeey!
rush		The best pattern recognition program ever.  This guy can filter a river of junk data and pull out the good stuff.
krod		You know it, dude!
krod		Who is this guy?
rush		Miles - I mean Krod, you flew the search engine. You ran a trace on a hotshot lightcycle rider. The red guy. Remember?
krod		Well. Eh. I'd like to help you, but truth is, I just got rebooted from a big crash. There's nothing left in my memory from before.
mega		This will yield zero.
rush		Hang on.
rush		Remember, Krod? You were watching this lightcycle duel, a red guy and a green guy, head-to-head.
rush		The green guy faked out the red guy, but the red guy double-faked the green guy.
krod		Okay! YES! And the green guy splattered big time! It was awesome! How could I forget that?!
