****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
skipper		 And, of course, we are.
francis		Well, you never can tell these days, can you?
skipper		What is it we can do for you today?
francis		Well, we've come to give our boy a little break from the monotony.
phil		It's not monotonous.
francis		Never the less...
francis		Hop to boy.  We haven't got all day.
skipper		I didn't know, Phil.
crew together		When the sun came up there was whisky in the cup/ and not one of us was sober/ Kerry thought she saw a picture, but it really was the sun/ then we knew the party was over...
chuck		Bregitta.  Do you believe it?
john		Believe what?
chuck		Her name.  Bregitta.  It's poetry.
terry		Soon as we ship it'll be "forgetta".
tod		Don't mind him, Chucky.  You're talking to a guy whose idea of big romance is a palm full of Vaseline.
terry		Screw you, Valentino.  I haven't seen you swapping spit with anybody.
tod		That's because I'm discrete, moron.
skipper		Alright, gentlemen, we sail with the tide.  Twenty-three hundred.  Sharp. I'm not waiting.  Have a good time tonight but be back on time.
lawford		Hold this, will ya?
lawford		Madam, I would consider it a privilege if you would allow me to take you on a tour of the dance floor.
lawford		You're very light on your feet Ms. Boyde.  Was it you who taught all of these young ladies the art of the dance?
francis		What's wrong, you don't like steak?
phil		I should be eating with the crew.
francis		Humor me.  Eat it anyway.
phil		Why are you here?
peggy		We missed you.  We wanted to check on you.
phil		I don't need you spying on me.
francis		Spying?!
phil		I can take care of myself.
francis		 Oh, really?
phil		Look, you put me on this boat in the first place.  I didn't want to come but I did.  Why do you have to embarrass me.  Why can't you just leave me alone?
peggy		Francis!!
francis		Listen to me, you thankless little prick.  We're your parents, so don't you dare talk to me disrespectfully. What the hell is it, this captain? Because I'll see him in a rowboat...
phil		It has nothing to do with him.
francis		Well, what does it have to do with? Us?
phil		No.  Look, it's me okay?  Can't it just be about me?  For once?
skipper		He would have loved this.
alice		Your father?
skipper		All his years at sea, he never stopped talking about these islands.
alice		You miss him.
skipper		Every hour.  Every minute.  I wish he was here.  I wish he could have sailed our girl.  Seen these boys...
skipper		I'd have liked to have said goodbye.
alice		He knows.
skipper		You sound so sure.
alice		I am about this.
alice		What?
skipper		He never would have believed a woman like you existed.
alice		Do you remember the last time you and I danced under the stars?
skipper		Guilty.
alice		On the deck of the Yankee, the night you asked me to marry you.  We weren't much older than they are.
skipper		Would you allow me?
george		If I didn't know better I'd say the old man was acting almost halfway human.
lawford		He is halfway human.
chuck		I can't remember feeling like this about myself, a place, someone like you.  We've come such a long way, seen so much.  But nothing like this.
chuck		I'm not the best at expressing myself.  Maybe the only reason I can now is because I know you don't understand me.  I like you so much.  Too much.  But how could I?  I mean, if we can't even communicate, how could I know you?  It's confusing.  We sail in an hour and I'll never see you again.
bregitta		I like you, too.
bregitta		Come on.  We don't have much time.
robin		 What?
robin		 Wait for me okay.  I'll be right back.  I swear.
robin		Phil.  What are you doing?
phil		Fandango, Junior.  I'm gonna do some limbo baby!!
robin		No way Phil.  Not like this.
phil		Roger Meris, steps up, it's a corker down the pipe...
phil		It's outta here!
robin		Come on man.  Let's just talk about it.
robin		Phil!  Wait man... Come on...
john		 Be right back.
john		Jesus!  What the hell happened to him.
phil		Lemme go!  Lemme go!!
robin		I don't know.  We gotta get 'im outta here before Skipper sees him like this.
phil		Son of a bitch!!
john		Phil, if you don't calm down, I'm gonna hurt you.  Got it?
lawford		The rust won't wait for you to read Conrad, Goodall.
john		Then he shouldn't have written such a long poem, Mr. Lawford.
lawford		Read on, young John.  Read on. College boards are coming.
tod		There they blow!!  There they blow!! Dolphins off the bow!!!
chris		Jesus Christ!
phil		Fuck off man.  It's just a fish.
rick		No, Phil.  It's a mammal.
skipper		 Bill, lower a long boat.  We'll bring her up with the davit.
skipper		What do you think?
alice		It's through her lung.
skipper		 Nice shot.
skipper		Finish it.
phil		 I'm not gonna kill it.
skipper		You already have.  Now go on.  Do it.
skipper		What the hell is wrong with you?!
skipper		Come on.  You got so much fight in you; you wanna kill something?  Take your best shot.  The first one's free.
skipper		That's what I thought.  You're done.  You're going home.
phil		You mean-assed bastard!!  You son of a bitch!!  You can't do this!!!  You can't do this!!!  God damn you!! God damn you!!
chuck		Why'd you do it?
phil		 What's the difference?
chuck		You only hurt yourself you know?
phil		Like you really care.  Like any of you give a shit what happens to me.
rick		You're the one who doesn't care, Phil.
phil		It hurts too much to care.
rick		About yourself?
phil		About anything.
robin		We shouldn't be putting him off the boat.
chris		The guy's out of control.
robin		Everybody's been outta control on this trip.  Are we a crew or not?  I mean, isn't that what this is supposed to be all about?
mike		You're the last person who should be whining about being a "crew".
robin		How do you figure that?
mike		Well, I'd sure like to go into the subject of vertigo and all, but I wouldn't want you to piss yourself.
john		You're a regular prick you know that?
mike		Tell it to the dolphin, Goodall.
john		Everybody deserves a second chance, ya know?  We'd do the same for you Mike.
robin		It's about family isn't it?  I mean are we together on this or not?
mike		Hell, do what ever you want.  It won't change anything anyway.
robin		I can't go in there.
chuck		What are you talking about.
robin		The guys were right.  It'll mean nothing coming from me.  He'll listen to you Chuck.  Everybody does.
skipper		Come.
skipper		What's on your mind?
chuck		I'm here on behalf of the crew, sir.
skipper		Well, spit it out.
chuck		The fact is... We'd like you to give Phil another chance.
skipper		Can't do it.
chuck		Sir...?
skipper		Close the door.  Sit down.
skipper		Why do you think I'm sending him home?
chuck		He killed the dolphin.
skipper		The Dolphin was a symptom.
chuck		Of what?
skipper		Of a fight he can't win out here.
chuck		It's his father sir.  He's suffocating him.  We've all seen it...
chuck		I mean he has all these expectations and he doesn't even know who his own kid is.  What right did then have to show up here?
skipper		They have every right Chuck.
chuck		They send us because they want us to change, or grow up or something and then they try to keep us the same.
skipper		Let me tell you something about Phil's father, and your's too.  How do you think you got here?  You think this is all free, that they owe you something?  You think they enjoy riding subways and commuter trains, driving buses or pulling lobster traps?  Work fifty weeks a year to keep you in tennis shoes and private school?  Look around at how the rest of the world lives Chuck. We're the luckiest people alive, every one of us.  They gave it up for you and Phil, and me too my friend.
skipper		There are ground rules in families just like on this boat.  If you and Phil don't like it, I'm sorry. Someday you'll understand that, and if you're lucky, you'll come home and find your best friend has been there all along waiting for you to forgive him for being a father. It'll be the way it used to be, when you were ten and your dad was a giant.
skipper		Does Phil know how you guys feel?
chuck		I don't know.
skipper		You should tell him.  That's something he can take with him.
skipper		I'm all ears.
alice		You may not like what you hear.
skipper		I can take it.
alice		They've become what you wanted. They're a crew.  That's why he came.
skipper		Why did we begin this?
alice		We were idealists.
skipper		Because we believed we could make an impact out here.  Self reliance and community through the disciplines of sailing.
alice		I haven't forgotten.
skipper		Phil, he's not looking inside.  He's just striking out at the world.
alice		He has a lot of hurt inside him.
skipper		Well, he better learn to own it. Actions have consequences.  It's not what happens here Alice, it's what they take away with them.
alice		You're still an idealist.
skipper		Oh hell...
rick		Good luck.
phil		I'm ready.
charlie		His ol' man's gonna eat him for lunch.
john		I know what that's like.
rick		Yeah.
chuck		My god...
phil		I'm sorry.
skipper		I know, Phil.
skipper		They never gave up on you, you know.
phil		Tell 'em I said... thanks.  Goodbye Skipper.
tod		Listen man, I think I have a problem.
chuck		We all have problems.
tod		I'm pissin' fire man.
alice		Have a nice time in Curacao, did you Tod?
alice		Not so fast.
chris		Way-ta-go Valentino.  I never even copped a feel in Curacao.
tod		Yeah well, your sexual orientation is not my problem.
rick		Man, is there a social disease you haven't had?
charlie		So much for vestal virgins.
lawford		What do you make of that?
skipper		I don't know.
george		Jesus.  She's got guns.
skipper		She's Cuban.
skipper		 GET DOWN!  EVERYBODY DOWN!!
skipper		Jesus, we're Americans!!!  We're Americans!!!
terry		Jesus, they're gonna sink us!!
skipper		Bill drop everything.  Do it now!
skipper		 Who the hell do they think they are?
george		They want us to identify ourselves.
skipper		Tell them we're the American School Ship, Albatross.
