****Dialogues from script :Kung_Fu_Panda.txt****

final draft		June 3, 2008
exley		The youngest applicant by eight years.
dudley		You'll make lieutenant inside a year.  Patrol division?
exley		I was thinking Detective Bureau.
dudley		You don't have the eye for human weakness to be a good detective. Or the stomach.  You're a political animal, Edmund.
exley		You're wrong.
dudley		Am I...?  Would you be willing to plant corroborative evidence on a suspect you knew was guilty in order to ensure an indictment?
exley		Dudley, we've been over this.
dudley		Answer yes or no.
exley		I... No.
dudley		Would you be willing to rig crime scene evidence to support a prosecuting attorney's working hypothesis...?  Yes or no, Edmund.
exley		No.
dudley		Would you be willing to beat confessions out of suspects you knew to be guilty?
exley		No.
dudley		Would you be willing to shoot hardened criminals in the back to offset the chance --
exley		No.
dudley		Then for God's sake, don't be a detective.  Stick to assignments where you won't have to make those choices.  Patrol, Internal Affairs, but not the Bureau.
exley		I know you mean well, Dudley, but I don't need to do it the way you did.  Or my father.
dudley		At least get rid of the glasses. I can't think of one Bureau man who wears them.
stensland		Hey, partner.  Grab a cup.
bud		I got to write my report first.
jack		Hi... I'd like to get a delivery to Beverly Hills.
jack		Look, a friend of mine gave me this number.  I just --
jack		This is Sgt. Vincennes. Requesting a name and address on a phone number.  Hollywood zero-one- two-three-nine.
jack		I just called it.
jack		 A bootleg...
exley		All right, men.  You've had your fun.  Time to break it up.
stensland		Fucking Exley.  Guy's got a pole so far up his ass, every time he farts the flag waves.
exley		What's going on?
cop		They got the spics who japped Helenowski and Brown.  Helenowski lost an eye and Brown's got brain damage.
exley		I have the report right here. They're home with bruises and muscle pulls -- Oh shit...
stensland		For ours, Pancho. And you're getting off easy.
jack		White, you better get a lease on Stens before he kills someone.
garcia		Fuck you, pendejo.
bud		Yeah yeah...
garcia		And fuck your mother too.
exley		 Stop, Officer!  That's an order!
exley		You're going in my report!  All of you!
hall		 As Exley struggles, a cop opens the door to the store room.  Bud slings Exley inside, then slams the door tight.  Exley is locked in.  As Bud moves off, we hear POUNDING.  EXLEY  Let me out!  That's an order!
cell block		 The Herald Reporter and photographer enter unchaperoned and unnoticed.  Stensland swings like a madman.  That's when a flashbulb goes off.  Freezing everyone in black and white.  DISSOLVE TO:
chief		Officer White, you've refused to cooperate with Internal Affairs. But you should know this is bigger than a police board.  Indictments may be handed down.  Quite frankly, we need police witnesses to offset the damage done to the Department's image.  Will you testify?
bud		No, sir.  I won't.
chief		District Attorney Loew.
loew		Bloody Christmas.  The press love to label.  You and Officer Stensland brought the liquor into the precinct.  Stensland was already drunk.  Do you see how appearing as a voluntary witness against him could offset the damage you've done to yourself?
bud		I won't do it.  I won't testify against my partner or anyone else.
loew		This man is a disgrace.
chief		Your badge and gun, Officer.
chief		This is the new L.A.P.D., White. You're suspended from duty and dismissed.
chief		Ed, your observations have been astute.  What's your assessment of this situation?
exley		The public demands justice, sir. This was a full-fledged riot of policemen.  Shift the guilt to men whose pensions are secured.  Force them to retire.  But someone has to swing.  Indict, try and convict Stensland and Bud White.  Secure them jail time.  Feed them to the sharks, sir.  Protect yourself; protect the department.
dudley		Stensland's a disgrace.  Straight D fitness reports from every C.O. he ever served under.  But White is a valuable officer.
exley		White's a mindless thug.
dudley		No, Edmund.  He's a man who can answer yes to those questions I ask you from time to time.
chief		I want to know who we give the public in contrast?  The department needs role models. Clean-cut, forthright men the public can admire.
exley		I'll testify, sir.  I'm not afraid to do what's right.
chief		And I'll promote you.  You'll be a lieutenant immediately.
exley		Detective lieutenant.
chief		Ed, you're 30.  Your father didn't
exley		I know that, sir.  I also know that when he made lieutenant, it was as a detective.
loew		 Before we start polishing our laurels, it would look better if we had a corroborative witness.
dudley		That'll be hard to come by.  The men hate a turncoat.
exley		Jack Vincennes.  He's the technical advisor on 'Badge of Honor,' sir.  He lives for it. That's the way to get him.
chief		All right, Ed.  Call Sergeant Vincennes.
dudley		You'll reap the benefits, but are you truly prepared to be despised within the department?
exley		Yes, Dudley.  I am.
dudley		So be it.
jack vincennes		 Looking sharp, he strides down the hall, enters the...
dudley		Sergeant, we'll get right to it. Nine civilian witnesses have identified you as hitting Ezekiel Garcia.
loew		But my office has a stellar witness who will tell the grand jury that you hit back only after being hit.
jack		What do I have to do?
loew		Testify against the three officers who have already earned their pensions.  Our key witness will testify roundly, but you can plead ignorance to questions directed at the other men.
chief		I'll guarantee you a slap on the wrist.  A brief suspension followed by a temporary transfer from Narcotics to Ad Vice.  When you transfer out of Vice, you'll be back on the show.
jack		The show, sir?
chief		Badge of Honor, Vincennes.  We need to tone down your profile for a bit.
dudley		John, I doubt you've ever drawn a stupid breath.  Don't start now.
jack		Okay.  I'll do it.
chief		Dismissed, Vincennes.
chief		So be it.  Detective Lieutenant.
chief		Ace them at the grand jury tomorrow, son.  Wear the smart- looking suit and ace them.  And, Ed?  Lose the glasses.
jack		You're the key witness?
exley		That's right.
jack		I should've known.  What's the Chief throwing you?
exley		Throwing me?
jack		Yeah, Exley.  What's the payoff?
exley		You're the payoff expert.  I'm just doing my duty.
jack		You're playing an angle, college boy.  You're getting something out of this so you don't have to hobnob with the fucking rank and file cops who'll hate your guts for snitching.  If they're making you a detective, watch out.  Some Bureau guys are gonna burn in this and you're gonna have to work with friends of theirs.
exley		What about you?
jack		I'm snitching three old timers who'll be fishing in Oregon next week.  Next to you I'm clean.  And smart.
clerk		Edmund J. Exley to chambers.
jack		Just remember, Bud White'll fuck you for this if it takes the rest of his life.  They already suspended him.  Just pray he cops a deal and stays on the Department because that is one civilian you do not want on your case.
bud		That an old fashioned you're drinking?  My name's Bud.
redhead		Nobody was born with the name Bud.
bud		They stick you with a name like Wendell, you look for an alias.
redhead		What do you do, Bud?
bud		I'm sorta between jobs.  Look, what do you say we, uh...
dudley		Lad, may I have a word with you?
bud		This business, Captain?
dudley		Say goodnight to your friend and join me by those back tables.
bud		Does that paper say we've been indicted?  Does it say Exley's a hero for squealing me and Stensland off?
dudley		He made his play amd he got what he wanted.  They're making him a detective.
bud		Captain, what do you want?
dudley		Call me Dudley.
bud		Dudley, what do you want?
dudley		Lad, I admire your refusal to testify and your loyalty to your partner.  I admire you as a policeman, particularly your adherence to violence as a necessary adjutant to the job. And I am most impressed with your punishment of wife beaters.  Do you hate them, Wendell?
bud		 Yeah, I hate them.
dudley		And for good reason judging from what I know of your background.
bud		What's going to happen to Stensland?  He'll give himself cirrhosis over this.  He's one year from his pension.
dudley		It would've happened years ago if you hadn't carried him.  Why the loyalty, Wendell?
bud		He helped me out once.  That's all.
dudley		Your partner's through. Department scapegoat on the Chief's orders.  He's been billed, he'll be indicted and he'll swing.
bud		Him and me both.  Fucking Exley.
dudley		Don't underestimate his skills. As a politician he exceeds even myself.  But the department needs smart men like Exley and... direct men like yourself
bud		What do you want?
dudley		Wendell, I want you to come to work for me.
bud		Doing what?  Mowing your fucking lawn?
dudley		They're yours.  Take them.
bud		I knew you had juice, but... There's no goddamn bill on me?
dudley		Four of the defendants recanted their testimony.
bud		How?
dudley		I need you for an assignment the Chief's given me the go-ahead on. A duty few men are fit for, but you were born for.  You'll be working out of Homicide.
bud		 Homicide?  A detective?
chief		Your talents lie elsewhere, Wendell.  It's a muscle job and shooting job.  You'll do what I say and not ask questions.  Do you follow my drift?
bud		 In Technicolor.
dudley		Will you work for me?
bud		Of course... But how?
dudley		How what, Wendell?
bud		How'd you get them to retract?
chase		I'm not a policeman.  I just play one on television.  But I think I can answer for them.  To help people.  That's why I do the show.
chase		To protect and serve.  It's not just a motto.
chase		That one.  In the sweater.  They also serve who only stand and wait.
chase		Jack, I'll see you Monday on set.
jack		I won't be there.  They're toning down my profile.
printing press		 The latest issue of Hush-Hush flies through.  On the cover:  "Gail Russell Caught In Love Nest.  Nymph or No?"
bud		Domestic.  Assault and battery.
carlisle		Ready to go, Bud?
bud		I'll be there in five minutes.
bud		I hear you like to hit women.
prisoner		My wife.  She's dropping charges so it's none of your business.
cohen		What do you mean Deuce Perkins got clipped last night?!
stompanato		They shot him in his library.
cohen		I don't want a floor plan; I want to know who!  Who's taking the ticket for this, Johnny?
stompanato		Nobody.  At least not yet.
cohen		And what about the merchandise Deuce was holding for me?
stompanato		Gone.  Not a trace.
cohen		Some ferstunkener is moving in and we don't know who?!  Maybe we should ask Hedda Hopper!
vice captain		Picture-book smut, gentlemen. There's been a bunch of it found at collateral crime scenes lately. Mostly narcotics and prostitution collars.
vice captain		Look who's back from suspension. We're honored, Sergeant Jack.
jack		Gee.  The Great Jerk-Off Book
vice captain		Vincennes, is there someplace you'd rather be?
jack		Yeah, Cap.  Back in Narcotics.
vice captain		Oh?  Anyplace else?
jack		Working whores with squad two.
vice captain		Maybe you should have thought of that before you made Bloody Christmas page one.
vice captain		They're yours.  Make a major case, Sergeant.  It's the only way you're getting out of here.
vice captain		Dismissed, gentlemen.
vice captain		Roll, Vincennes.  No sidetracks. This is Ad Vice, not Narco.
hudgeons		Hush-Hush.  Off the record and on the Q.T.
hudgeons		Jackie, are you back on Narco?  I need copy.
jack		No.  But I've got something going with Ad Vice.
